Restaurant_ID,City,Cuisine_Type,Average_Meal_Price,Seating_Capacity,Years_in_Business,Google_Rating,Social_Media_Followers,Weekend_Reservations,Staff_Count,Delivery_Service,Marketing_Budget,Health_Inspection_Score,Annual_Revenue,Success_Label
R0038,San Francisco,Indian,19,134,1,3.2,29770,167,11,Yes,7352,89,1750883,1
R0039,New York,American,12,110,22,3.4,49212,213,42,Yes,1994,63,185024,0
R0040,Los Angeles,Italian,23,117,5,3.6,22952,205,32,Yes,17785,93,1024384,1
R0041,Houston,Indian,25,139,9,4.8,23720,225,9,Yes,1172,91,233273,0
R0042,New York,Italian,19,65,18,3.0,28407,294,7,Yes,9130,79,694742,1
R0043,Houston,Chinese,38,57,24,2.5,47651,205,48,Yes,10768,75,174444,1
R0044,Los Angeles,Japanese,19,119,27,2.7,1651,161,35,No,944,94,424319,0
R0045,Los Angeles,Italian,21,91,21,4.8,48022,23,46,Yes,9657,78,354604,1
R0046,New York,Indian,39,54,2,4.1,27912,155,24,No,12482,68,1252444,1
R0047,Los Angeles,Chinese,10,49,29,3.2,13899,66,23,No,9155,96,212818,1
R0048,San Francisco,Italian,14,97,26,2.9,26412,220,15,No,19082,57,530001,1
R0049,Los Angeles,Mexican,29,103,11,3.2,39720,277,44,Yes,2787,72,1098591,0
R0050,Houston,American,17,132,27,2.8,1549,219,7,No,12457,91,1934765,0
R0051,Houston,Japanese,21,44,28,4.9,24526,26,27,Yes,4508,84,1255605,0
R0052,Houston,Italian,10,107,6,4.5,35527,295,11,Yes,12196,80,655829,1
R0053,Houston,Chinese,29,33,26,3.7,40377,212,27,No,9604,84,1644156,1
R0054,San Francisco,Mexican,37,121,8,4.7,31651,108,11,Yes,996,81,1483414,0
R0055,Chicago,Vegan,46,102,4,3.1,24377,288,38,Yes,1963,54,212948,0
R0056,New York,Chinese,46,129,18,4.3,35589,218,46,Yes,12959,65,766087,1
R0057,Houston,American,21,38,28,4.6,45312,138,23,Yes,17377,66,1145622,1
R0058,Los Angeles,Chinese,46,47,11,3.4,9737,297,13,Yes,18310,81,1637681,0
R0059,Houston,Mexican,37,90,5,4.4,43358,261,22,Yes,10384,87,1108335,1
R0060,Los Angeles,Chinese,24,82,15,3.2,35793,274,45,No,18677,81,1278080,1
R0061,Los Angeles,Mexican,15,92,28,3.2,9924,280,49,No,3223,69,1367132,0
R0062,Houston,Italian,29,143,18,2.8,27050,197,46,No,17542,97,1549549,1
R0063,San Francisco,Mexican,23,138,2,3.6,23588,223,29,Yes,5261,51,332648,1
R0064,Los Angeles,Mexican,11,140,22,4.3,39108,292,18,Yes,8130,69,1469220,1
R0065,Los Angeles,Japanese,18,38,11,4.9,49764,220,48,No,16875,96,320651,1
R0066,Houston,Mexican,46,139,26,4.0,315,85,29,No,9241,67,1119626,0
R0067,Los Angeles,Mexican,29,80,25,4.7,40167,157,23,Yes,4850,50,448036,0
R0068,Los Angeles,Vegan,35,49,13,4.6,11623,222,43,Yes,707,78,536383,1
R0069,Houston,Italian,38,28,4,2.9,10464,118,19,Yes,4690,78,1198729,0
R0070,Houston,American,10,83,22,3.7,3253,138,20,Yes,2383,68,1898595,0
R0071,New York,Japanese,44,139,7,2.8,23934,19,31,Yes,3386,93,281329,0
R0072,San Francisco,Vegan,15,71,29,4.2,34574,56,44,No,17361,89,1680596,1
R0073,San Francisco,Indian,46,108,11,4.9,43166,105,14,Yes,9453,55,626209,1
R0074,Los Angeles,Italian,14,72,22,2.8,34435,112,8,Yes,8881,93,1537291,1
R0075,San Francisco,Italian,42,97,24,4.3,10500,155,23,Yes,14295,88,1740598,1
R0076,Los Angeles,Indian,23,60,4,4.1,10445,36,32,Yes,17639,99,1089786,1
R0077,New York,American,21,87,28,4.0,33996,229,25,Yes,10138,95,187912,1
R0078,Houston,Mexican,29,27,15,3.5,19994,27,18,Yes,5431,57,546586,1
R0079,Houston,Vegan,33,21,1,3.4,28999,176,37,Yes,10355,73,605728,1
R0080,Houston,Chinese,43,124,23,2.6,40735,91,14,No,6224,69,1658047,1
R0081,San Francisco,Japanese,34,144,3,3.0,28329,81,23,Yes,12920,63,1981180,1
R0082,New York,Chinese,38,129,14,2.5,5683,263,34,Yes,4560,54,1756325,0
R0083,San Francisco,Indian,48,105,6,4.0,4997,171,26,Yes,5265,90,688803,0
R0084,San Francisco,Italian,40,139,18,2.8,6101,47,7,No,7053,89,1483903,0
R0085,New York,American,32,146,25,4.7,43981,210,41,Yes,7878,83,378443,1
R0086,New York,Italian,47,35,1,3.8,4667,209,45,No,18573,65,1843397,0
R0087,New York,Japanese,29,81,6,4.2,9371,264,22,Yes,18200,94,1059589,1
R0088,New York,Italian,32,132,6,3.5,47216,188,15,No,7630,56,1738367,1
R0089,Houston,Italian,25,31,21,3.9,11803,44,6,No,3686,65,1137599,0
R0090,Chicago,Japanese,17,54,16,4.9,13429,91,16,Yes,6289,56,1279677,1
R0091,Chicago,Vegan,30,30,29,2.7,35609,229,10,Yes,16622,76,352085,1
R0092,New York,Vegan,10,83,5,3.1,6356,167,47,Yes,18029,63,1545742,0
R0093,Chicago,Japanese,17,69,17,4.4,328,13,44,No,8442,63,958109,0
R0094,Chicago,American,38,88,10,2.7,24846,176,48,Yes,8048,93,792319,1
R0095,New York,Indian,41,67,28,2.7,16778,213,33,Yes,17444,82,126054,1
R0096,Chicago,Italian,47,39,21,3.4,37152,203,34,No,18796,82,1426083,1
R0097,San Francisco,American,14,120,18,2.7,46132,244,6,No,18748,93,551772,1
R0098,Los Angeles,Italian,31,87,7,4.0,46258,215,13,Yes,796,69,636030,0
R0099,Los Angeles,Indian,43,54,3,3.1,23285,159,6,Yes,2909,96,1091963,0
R0100,New York,Vegan,10,84,13,4.7,33786,168,33,Yes,1961,85,1589688,1
R0101,Houston,American,35,27,15,4.5,11545,288,37,Yes,2768,56,619503,1
R0102,New York,Mexican,19,64,20,4.2,33366,175,14,Yes,17878,81,1092585,1
R0103,Houston,Mexican,39,106,19,4.0,2909,77,38,Yes,7054,97,1932865,0
R0104,Los Angeles,Mexican,27,95,3,4.7,37829,97,48,Yes,16891,52,1940484,1
R0105,New York,Vegan,26,95,4,3.1,41885,226,12,No,19399,88,209245,1
R0106,San Francisco,Vegan,35,66,5,4.7,36647,10,41,Yes,18301,78,1501187,1
R0107,Chicago,Indian,17,34,1,4.5,42918,144,37,Yes,19200,73,896200,1
R0108,Houston,Italian,49,124,4,4.4,34986,194,10,Yes,7858,71,1340019,1
R0109,Chicago,Indian,21,45,12,3.9,6491,149,48,Yes,18171,55,1576535,0
R0110,Chicago,Indian,36,71,28,3.1,245,115,44,Yes,18002,97,1202167,0
R0111,New York,Vegan,17,112,27,3.6,14029,142,49,Yes,8137,73,1347621,1
R0112,Chicago,Mexican,34,40,24,4.5,24426,117,23,No,1160,89,1669093,0
R0113,San Francisco,Chinese,13,70,10,2.6,30091,187,36,Yes,9407,72,1996714,1
R0114,Chicago,Italian,42,57,23,4.5,47785,155,31,Yes,7422,87,112583,1
R0115,New York,Vegan,10,39,25,3.1,37433,83,5,No,12453,59,305931,1
R0116,San Francisco,Mexican,28,74,21,2.9,16676,117,47,Yes,19413,65,1258572,1
R0117,Los Angeles,American,40,111,29,2.8,39505,131,37,No,4470,60,1748875,0
R0118,Chicago,Chinese,25,47,26,2.6,28564,26,44,Yes,3907,81,1564761,0
R0119,New York,Chinese,23,23,20,3.8,8343,205,36,No,9546,94,1390824,0
R0120,Los Angeles,Vegan,14,95,24,3.0,31701,261,9,Yes,15047,55,814948,1
R0121,Los Angeles,Japanese,35,86,25,5.0,2510,128,21,No,5260,73,874026,0
R0122,Houston,Italian,37,105,13,3.9,1920,171,12,No,18781,82,315808,0
R0123,San Francisco,Chinese,11,110,23,2.8,35389,207,46,Yes,13965,61,1895536,1
R0124,Chicago,Vegan,15,124,14,4.2,38750,54,38,Yes,4587,76,1782126,0
R0125,New York,Vegan,18,20,23,4.7,34735,188,13,No,8107,87,771393,1
R0126,Houston,Mexican,42,91,5,4.4,7565,53,27,Yes,4519,67,504377,0
R0127,San Francisco,American,34,106,4,2.7,32539,280,39,Yes,1315,94,778537,0
R0128,Houston,Japanese,22,25,14,4.7,27414,87,11,Yes,13063,88,702692,1
R0129,San Francisco,Italian,18,80,10,4.5,44329,187,19,No,13792,62,1300240,1
R0130,San Francisco,Indian,22,31,17,2.9,19683,12,24,Yes,16658,89,1393619,1
R0131,Chicago,American,40,25,10,2.6,27255,223,29,Yes,1422,79,907411,0
R0132,San Francisco,American,20,46,26,3.9,38971,83,7,Yes,13429,98,591529,1
R0133,Houston,Mexican,13,143,7,2.9,12297,60,28,No,15425,90,882643,1
R0134,San Francisco,Chinese,43,125,16,4.6,29611,76,38,No,18148,62,1686336,1
R0135,Chicago,Chinese,47,112,1,3.4,15524,102,26,No,11479,83,255320,1
R0136,Chicago,Mexican,13,128,17,4.8,48921,185,15,Yes,3222,85,1041261,1
R0137,Houston,Vegan,47,118,21,3.9,340,154,12,No,5855,79,81346,0
R0138,Los Angeles,Chinese,28,54,29,3.0,4731,16,43,Yes,13801,74,1704060,0
R0139,Los Angeles,Japanese,15,103,9,2.8,9699,278,47,Yes,3050,51,416595,0
R0140,San Francisco,Italian,43,75,6,3.9,44562,13,39,Yes,11641,85,782484,1
R0141,New York,American,27,68,19,4.4,24758,147,42,Yes,18557,67,1987916,1
R0142,San Francisco,American,22,65,13,4.5,37945,240,12,No,11784,54,1534012,1
R0143,Houston,Japanese,32,132,3,3.2,32674,97,41,Yes,18550,68,1247590,1
R0144,Houston,Chinese,28,62,7,3.0,36636,26,31,Yes,1884,91,1934175,0
R0145,Houston,American,20,143,22,2.5,42010,61,32,No,8752,67,872805,1
R0146,Houston,Indian,10,116,9,4.2,8095,143,44,No,7738,81,1952151,0
R0147,Houston,Italian,33,109,22,2.7,25286,220,38,Yes,6526,70,1743487,1
R0148,Chicago,Italian,16,58,5,3.6,29345,228,36,Yes,10982,59,946445,1
R0149,Los Angeles,American,34,104,10,4.0,22913,214,19,No,14301,86,1100592,1
R0150,Houston,Mexican,30,81,23,4.8,13376,220,48,Yes,16620,98,1954118,1
R0151,New York,American,24,125,17,3.3,20089,286,21,Yes,16080,71,1621771,1
R0152,New York,Mexican,10,126,12,3.1,12846,33,37,Yes,9164,62,1013813,1
R0153,New York,American,21,73,23,4.1,44343,13,20,Yes,17842,66,581562,1
R0154,New York,Indian,16,145,16,4.0,18657,161,33,No,993,58,1075743,0
R0155,Chicago,Vegan,24,28,3,3.3,28160,268,13,Yes,16965,73,65748,1
R0156,New York,Italian,30,107,25,4.8,6668,177,37,Yes,7499,93,1511967,1
R0157,Houston,American,28,56,22,4.6,35469,185,33,Yes,14333,63,1596502,1
R0158,San Francisco,Indian,38,68,9,3.1,19141,65,17,Yes,3470,95,1634690,0
R0159,New York,Mexican,34,60,29,3.1,6180,117,25,Yes,511,57,919440,0
R0160,Chicago,Mexican,42,36,15,3.8,13954,150,25,Yes,16051,86,703576,1
R0161,Chicago,Italian,41,107,5,4.4,2259,164,9,Yes,17645,68,477345,0
R0162,New York,Japanese,44,40,23,2.6,27125,271,14,Yes,3685,77,1299657,0
R0163,San Francisco,American,47,70,13,4.2,41181,282,10,Yes,16909,95,1873918,1
R0164,New York,Chinese,35,78,14,4.1,4468,241,17,Yes,2306,90,466706,0
R0165,Chicago,Mexican,20,60,20,3.1,34185,250,5,Yes,6164,79,942055,1
R0166,Los Angeles,Vegan,44,58,15,4.2,27194,267,24,Yes,14626,56,222507,1
R0167,Houston,Vegan,17,30,16,4.9,46140,258,12,No,13394,75,1828953,1
R0168,Chicago,Mexican,23,96,23,2.6,1330,86,14,Yes,5654,89,570140,0
R0169,New York,Japanese,19,146,13,3.3,17617,189,13,Yes,14267,95,273023,1
R0170,Houston,Japanese,11,65,17,3.6,24091,75,45,Yes,15726,95,1443826,1
R0171,New York,Indian,18,64,23,4.7,1401,180,7,No,2025,60,1815813,1
R0172,New York,Vegan,12,20,8,4.9,28710,31,15,Yes,1260,63,987302,0
R0173,Los Angeles,Indian,30,127,21,3.6,16027,116,16,No,17478,70,1415358,1
R0174,Houston,Vegan,35,38,2,4.4,34778,236,14,Yes,14380,57,1167648,1
R0175,Houston,American,17,95,5,3.8,24566,225,29,No,1555,52,1165885,0
R0176,Los Angeles,American,11,91,6,3.8,15004,78,29,No,10546,77,1259542,1
R0177,Chicago,Chinese,15,128,12,3.2,40975,93,15,Yes,3583,78,551775,0
R0178,New York,American,37,31,18,3.0,26181,112,40,Yes,16178,72,1485444,1
R0179,San Francisco,Chinese,38,64,22,3.2,24454,48,43,Yes,12608,67,235639,1
R0180,New York,American,35,109,22,3.9,27861,22,30,Yes,10150,84,1658190,1
R0181,New York,Italian,34,122,1,2.6,18400,190,18,Yes,6457,62,760419,1
R0182,Chicago,American,21,27,17,4.8,29591,277,43,Yes,5755,61,1890087,1
R0183,New York,Indian,14,110,11,2.9,35625,22,44,Yes,9911,96,1482132,1
R0184,Los Angeles,Mexican,43,106,10,3.1,26632,129,5,Yes,16844,99,1710204,1
R0185,Los Angeles,Indian,46,103,19,3.8,6564,66,8,Yes,10191,54,1970219,0
R0186,Houston,Mexican,24,101,14,4.3,16662,49,34,Yes,18714,88,468810,1
R0187,San Francisco,Japanese,45,87,26,2.7,41956,137,16,Yes,3895,60,354893,0
R0188,New York,Indian,24,146,10,3.3,47992,182,39,No,1703,60,1790228,0
R0189,New York,Japanese,32,101,15,4.9,47128,44,17,Yes,19694,96,1741056,1
R0190,Chicago,Chinese,15,103,28,3.2,42611,268,35,No,19976,91,910966,1
R0191,Los Angeles,Chinese,30,132,19,3.3,8783,14,42,Yes,3544,96,1350325,0
R0192,San Francisco,Italian,32,95,4,4.6,32734,227,47,Yes,7772,80,1964241,1
R0193,Houston,American,25,141,2,2.6,160,20,27,Yes,4014,80,1674682,0
R0194,Los Angeles,Indian,24,60,9,3.7,9369,126,8,Yes,10490,62,1996918,0
R0195,Houston,Japanese,34,21,10,3.4,23165,193,20,No,6692,63,1636293,1
R0196,Chicago,Mexican,45,48,28,3.3,2995,125,11,Yes,11267,98,1680612,0
R0197,Chicago,Chinese,20,124,11,3.2,15423,171,26,Yes,17028,94,1671671,1
R0198,New York,American,24,70,14,2.7,12452,76,33,No,8007,91,319284,1
R0199,San Francisco,Chinese,13,94,7,3.3,44743,209,15,Yes,5357,74,1423946,1
R0200,Houston,Mexican,30,29,23,2.6,49837,40,37,No,12618,82,812449,1
R0201,Los Angeles,American,22,70,15,4.5,38691,84,33,No,18261,82,1506693,1
R0202,Chicago,American,31,137,22,3.5,30990,246,43,Yes,3646,64,925247,0
R0203,New York,Japanese,28,140,19,3.6,32116,75,16,Yes,17677,65,1913533,1
R0204,New York,Japanese,43,58,22,4.7,12062,79,11,Yes,6256,93,1381211,1
R0205,Houston,Indian,23,47,15,4.1,33402,29,43,Yes,4914,87,249888,0
R0206,Chicago,Indian,13,22,28,2.5,19946,235,46,Yes,17994,55,216052,1
R0207,San Francisco,Vegan,36,103,24,4.9,4111,208,30,No,4437,93,1605309,1
R0208,Chicago,Vegan,38,136,8,3.1,19882,48,44,No,4463,74,1325173,0
R0209,Houston,Italian,37,21,11,2.8,2255,154,13,Yes,6397,64,1106654,0
R0210,Houston,Chinese,44,112,29,4.4,39825,54,45,Yes,9474,53,665942,1
R0211,Chicago,Indian,17,113,9,3.8,9296,100,38,Yes,14877,53,179101,0
R0212,Houston,Japanese,25,59,15,3.6,43559,247,49,Yes,18000,79,532737,1
R0213,Chicago,Mexican,45,21,1,3.1,21809,79,17,No,16556,83,1540496,1
R0214,Los Angeles,Japanese,39,100,1,3.9,13427,175,40,Yes,2250,76,591285,0
R0215,Chicago,Chinese,27,31,19,3.2,35574,139,29,Yes,4527,80,523026,0
R0216,Chicago,Vegan,11,84,3,4.8,32869,223,28,Yes,12028,81,706228,1
R0217,Houston,Japanese,22,74,10,3.0,42093,98,48,No,6245,93,558715,1
R0218,Houston,Italian,13,64,8,4.7,24800,261,21,Yes,10179,88,469614,1
R0219,New York,Chinese,35,120,15,3.9,14920,81,6,No,6438,58,262650,1
R0220,New York,Vegan,34,81,10,4.6,10991,174,17,Yes,12650,90,409500,1
R0221,Los Angeles,Mexican,39,68,1,4.3,34729,58,35,No,13906,57,1474431,1
R0222,New York,Vegan,20,146,29,4.2,5369,61,33,Yes,18243,63,857678,0
R0223,Chicago,American,16,42,18,3.3,43980,298,32,Yes,5353,82,201633,1
R0224,Houston,Italian,40,57,2,3.1,48567,287,31,No,18825,72,1133088,1
R0225,New York,Chinese,19,47,19,3.0,8420,123,19,Yes,3648,70,1068064,0
R0226,New York,Mexican,48,40,13,4.6,49689,248,35,Yes,16743,61,275226,1
R0227,Los Angeles,Italian,22,126,22,4.6,10840,142,44,Yes,8433,51,1307043,1
R0228,Los Angeles,Vegan,40,118,1,3.6,35997,283,19,No,9936,62,894297,1
R0229,Chicago,Italian,16,138,2,2.8,31030,175,37,No,18169,53,991084,1
R0230,Houston,Chinese,45,92,29,3.5,17385,252,24,Yes,6974,69,514175,1
R0231,Los Angeles,Indian,29,141,16,4.0,14480,147,46,Yes,15179,99,939825,1
R0232,New York,Italian,13,49,15,3.6,11460,88,16,No,11728,97,646432,1
R0233,Houston,American,16,127,13,4.5,5498,179,41,Yes,1270,63,747845,1
R0234,Houston,Italian,10,117,16,5.0,5629,132,13,No,2343,79,1215939,0
R0235,New York,Vegan,22,51,17,3.0,29162,185,27,Yes,573,78,362809,0
R0236,Los Angeles,Vegan,31,98,21,3.6,36786,91,12,No,18544,57,1824348,1
R0237,New York,Mexican,30,60,29,3.6,17551,96,36,No,16559,61,231675,1
R0238,Houston,Vegan,31,82,29,3.3,49278,234,18,No,8500,90,1250686,1
R0239,San Francisco,Japanese,37,42,7,3.0,7037,25,31,Yes,13773,87,667830,0
R0240,San Francisco,Chinese,18,123,24,2.7,39986,172,29,Yes,16621,75,937743,1
R0241,Chicago,Chinese,35,94,26,4.7,49799,107,17,Yes,831,99,1588138,0
R0242,New York,Indian,18,67,17,3.5,10960,165,25,Yes,18305,51,1899333,1
R0243,New York,Indian,24,76,7,3.7,25242,11,49,Yes,8012,89,216964,1
R0244,Chicago,Chinese,19,137,13,4.8,25379,178,35,Yes,5431,63,444969,1
R0245,Chicago,American,33,119,5,4.4,38206,101,41,No,13242,55,1062571,1
R0246,Chicago,Indian,17,143,26,2.8,45340,190,47,Yes,13926,91,723356,1
R0247,Houston,Mexican,33,53,17,3.9,36008,240,9,Yes,5613,89,905243,1
R0248,New York,Vegan,25,26,3,3.6,40864,157,17,Yes,8919,80,1828219,1
R0249,Houston,Chinese,35,75,7,4.5,48357,289,32,Yes,3381,66,1012715,1
R0250,Chicago,Indian,36,84,26,4.3,14301,198,47,Yes,13645,74,166737,1
R0251,New York,Chinese,46,66,17,4.2,40644,137,29,Yes,14056,81,506036,1
R0252,Houston,Japanese,13,38,7,3.4,37811,16,39,No,19749,61,312968,1
R0253,Houston,Italian,33,145,21,4.5,45754,56,43,Yes,3075,98,1505672,0
R0254,Chicago,Vegan,28,68,1,2.6,9097,62,11,Yes,13214,62,1863281,0
R0255,New York,Chinese,45,132,17,2.9,40666,196,42,Yes,6685,68,692006,1
R0256,Chicago,Italian,48,57,17,3.3,20275,47,36,No,9156,93,378761,1
R0257,New York,Indian,19,83,11,2.7,40960,235,7,Yes,6241,97,1372237,1
R0258,San Francisco,Italian,34,88,25,3.1,3325,62,49,No,17161,74,1775619,0
R0259,Los Angeles,Vegan,27,135,27,4.6,44678,233,43,Yes,565,80,1508668,1
R0260,Los Angeles,Chinese,28,84,29,4.9,47782,163,41,No,4762,86,1463788,1
R0261,Los Angeles,Japanese,45,50,3,3.3,35328,57,26,Yes,6204,74,517018,1
R0262,Chicago,American,19,132,15,3.2,41605,156,12,Yes,15855,65,1830655,1
R0263,San Francisco,Indian,42,128,29,3.2,46788,73,21,Yes,9094,87,1871984,1
R0264,New York,Chinese,14,88,21,3.2,23210,191,31,Yes,12675,92,1877186,1
R0265,Houston,Vegan,44,139,11,2.6,10854,134,37,Yes,13196,98,529818,1
R0266,New York,Indian,43,107,26,4.8,26755,188,21,No,6755,72,1308061,1
R0267,Houston,Mexican,42,86,28,3.0,43701,48,46,Yes,7941,63,322126,1
R0268,New York,Italian,30,94,16,3.6,3214,269,16,No,15486,55,469814,0
R0269,San Francisco,American,26,64,25,2.5,26602,12,31,No,13850,74,195711,1
R0270,Houston,Vegan,31,23,22,4.6,49868,73,12,Yes,14940,72,1693074,1
R0271,Chicago,Mexican,46,126,28,4.3,48228,38,27,No,8460,92,1692716,1
R0272,New York,Chinese,24,70,9,4.9,20128,20,46,Yes,18321,61,950050,1
R0273,New York,Japanese,44,69,24,4.5,17687,106,33,Yes,14165,62,1878003,1
R0274,Houston,Indian,37,25,24,3.3,42819,212,24,No,7129,85,1108271,1
R0275,Chicago,Italian,16,78,1,3.1,35433,30,20,Yes,14328,88,1147158,1
R0276,Chicago,Indian,41,144,29,4.2,3274,48,21,Yes,5041,83,1391814,0
R0277,San Francisco,American,20,49,25,3.4,35498,232,20,Yes,8376,55,1814571,1
R0278,Chicago,Chinese,19,141,22,3.9,36029,111,23,Yes,13811,87,1382907,1
R0279,Chicago,Indian,18,144,16,2.5,4421,55,12,No,15088,99,954445,0
R0280,Chicago,Italian,23,56,9,2.7,30535,75,42,Yes,17148,89,703009,1
R0281,Los Angeles,Chinese,22,143,19,3.8,46072,100,42,Yes,12880,57,680971,1
R0282,San Francisco,Indian,34,120,12,3.9,7199,173,33,Yes,10377,57,1886222,0
R0283,New York,Japanese,11,54,19,4.4,23860,120,45,Yes,18318,89,1908948,1
R0284,Houston,Vegan,44,106,22,2.8,11460,132,40,Yes,5597,82,569382,1
R0285,New York,Chinese,16,37,9,3.8,10413,202,30,Yes,18544,83,1667270,1
R0286,San Francisco,Vegan,30,132,7,3.0,46370,108,35,Yes,19238,93,1058725,1
R0287,Houston,Chinese,27,48,14,2.7,20562,168,48,Yes,6961,64,1010985,1
R0288,San Francisco,Japanese,12,96,29,3.5,5901,112,16,No,7544,85,197049,0
R0289,Chicago,Vegan,48,78,19,2.9,14230,290,21,Yes,5997,84,1095323,1
R0290,Houston,Mexican,20,145,19,3.1,14371,52,19,No,14251,95,1536631,1
R0291,Chicago,Italian,48,128,2,3.3,16175,93,13,No,9804,71,1549666,1
R0292,New York,Mexican,33,41,9,3.1,37019,200,43,No,10926,72,1943422,1
R0293,New York,Indian,28,87,13,2.7,41779,60,46,No,11558,89,1462160,1
R0294,Houston,Japanese,13,88,15,2.7,19084,219,16,Yes,11760,94,285994,1
R0295,Houston,Mexican,35,68,3,3.0,22659,135,36,Yes,19063,71,1988577,1
R0296,San Francisco,Chinese,47,128,11,2.6,12961,78,29,Yes,1134,54,1810177,0
R0297,San Francisco,Indian,41,105,21,4.1,33534,274,43,Yes,10557,80,1303149,1
R0298,Chicago,Indian,48,72,14,3.2,16767,267,22,No,13845,62,1829069,1
R0299,Houston,Mexican,45,142,25,3.2,5940,197,19,Yes,10647,77,1159057,0
R0300,New York,Mexican,49,106,8,3.3,3665,239,36,No,19102,69,1860948,0
R0301,San Francisco,Japanese,46,61,18,4.2,43294,198,10,Yes,1889,82,339884,0
R0302,San Francisco,Italian,42,117,19,4.7,21077,19,48,No,13571,65,1948336,1
R0303,New York,Mexican,45,128,16,4.4,21218,123,47,Yes,11822,78,1018147,1
R0304,San Francisco,American,12,70,2,4.3,22741,85,39,Yes,4776,72,1595309,0
R0305,Chicago,Mexican,18,104,8,3.7,7466,173,38,Yes,12806,73,1372601,0
R0306,Houston,Vegan,17,146,22,4.2,26736,94,42,No,1749,83,1397716,0
R0307,New York,Chinese,42,40,6,3.9,15730,58,9,Yes,18129,56,737537,1
R0308,Houston,American,15,63,12,3.0,20156,186,22,No,8745,87,1745060,1
R0309,San Francisco,American,48,122,15,3.0,7482,227,20,No,11602,86,1660041,0
R0310,San Francisco,Vegan,13,87,25,3.2,16249,198,12,No,16726,53,1164702,1
R0311,New York,Vegan,22,148,8,4.8,48739,239,29,Yes,11088,83,1417251,1
R0312,Chicago,Indian,11,111,4,3.9,46141,264,36,No,942,91,76119,0
R0313,Los Angeles,Italian,14,43,15,4.3,1092,245,30,No,7476,71,692032,1
